Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
انظر إلى الحياة بتفاؤل، فالتذمّر والشّكوى من المشاكل الّتي تعترض طريقنا، وتستهلك تفكيرنا ووقتنا دون طائل.,Good Moral: تَفاؤُل,"['انظر', 'الحياة', 'بتفاال', 'فالتذمر', 'الشكوى', 'المشاكل', 'تعترض', 'طريقنا', 'تستهلك', 'تفكيرنا', 'وقتنا', 'طائل']",أنظر ألحي بتفاال تذمر شكوى مشاكل عترض طريق ستهل تفكير وق طائل,"['أنظر', 'ألحي', 'بتفاال', 'تذمر', 'شكوى', 'مشاكل', 'عترض', 'طريق', 'ستهل', 'تفكير', 'وق', 'طائل']","['أُنْظُر', 'أَلْحَى', 'بتفاال', 'تَذَمَّر', 'شَكْو', 'مَشاكِل', 'عترض', 'طَرِيق', 'هَل', 'تَفْكِير', 'وق', 'طائِل']",أُنْظُر أَلْحَى بتفاال تَذَمَّر شَكْو مَشاكِل عترض طَرِيق هَل تَفْكِير وق طائِل
ابحث عن الصديق الذي تجد عنده كلّ التّفاؤل، والأمل عندما يضيق صدرك.,Good Moral: تَفاؤُل,"['ابحث', 'الصديق', 'تجد', 'عنده', 'التفاال', 'الأمل', 'عندما', 'يضيق', 'صدرك']",ٱبحث صديق جد عند التفاال أمل عندم ضيق صدر,"['ٱبحث', 'صديق', 'جد', 'عند', 'التفاال', 'أمل', 'عندم', 'ضيق', 'صدر']","['ٱِبْحَث', 'صِدِّيق', 'جَدّ', 'عِنْدَ', 'التفاال', 'أَمَّل', 'عَنْدَم', 'ضَيَّق', 'صَدَّر']",ٱِبْحَث صِدِّيق جَدّ عِنْدَ التفاال أَمَّل عَنْدَم ضَيَّق صَدَّر
الإنسان دون أمل كنبات دون ماء، ودون ابتسامة كوردة دون رائحة، ودون إيمان بالله وحش في قطيع لا يرحم.,Sentiment: negative,"['الإنسان', 'أمل', 'كنبات', 'ماا', 'ابتسامة', 'كوردة', 'رائحة', 'إيمان', 'بالله', 'حش', 'قطيع', 'يرحم']",إنسان أمل كنب ماا ٱبتسام ورد رائح أيم بالله حش قطيع رحم,"['إنسان', 'أمل', 'كنب', 'ماا', 'ٱبتسام', 'ورد', 'رائح', 'أيم', 'بالله', 'حش', 'قطيع', 'رحم']","['أَنْسَأ', 'أَمَّل', 'كَنَب', 'ماا', 'ٱِبْتِسام', 'وِرْد', 'رائِح', 'أَيِّم', 'بِاللّٰهِ', 'حَشّ', 'قَطِيع', 'رَحِم']",أَنْسَأ أَمَّل كَنَب ماا ٱِبْتِسام وِرْد رائِح أَيِّم بِاللّٰهِ حَشّ قَطِيع رَحِم
التّفاؤل هو الميزة الأكثر ارتباطاً بالنّجاح، والسّعادة من أيّ شيءٍ آخر.,Good Moral: تَفاؤُل,"['التفاال', 'الميزة', 'الأكثر', 'ارتباطا', 'بالنجاح', 'السعادة', 'شيا', 'آخر']",التفاال ميز أكثر ٱرتباط نجاح سعاد شي آخر,"['التفاال', 'ميز', 'أكثر', 'ٱرتباط', 'نجاح', 'سعاد', 'شي', 'آخر']","['التفاال', 'مَيْز', 'أَكْثَر', 'ٱِرْتِباط', 'نَجاح', 'سُعاد', 'شَيّ', 'آخَر']",التفاال مَيْز أَكْثَر ٱِرْتِباط نَجاح سُعاد شَيّ آخَر
يرى المتشائم الصعوبة في كل فرصة، أما المتفائل فيرى الفرصة في كل صعوبة.,Sentiment: neutral,"['يرى', 'المتشائم', 'الصعوبة', 'فرصة', 'المتفائل', 'فيرى', 'الفرصة', 'صعوبة']",ري متشائم صعوب فرص متفائل ري فرص صعوب,"['ري', 'متشائم', 'صعوب', 'فرص', 'متفائل', 'ري', 'فرص', 'صعوب']","['رَيّ', 'مُتَشائِم', 'صعوب', 'فُرَص', 'مُتَفائِل', 'رَيّ', 'فُرَص', 'صعوب']",رَيّ مُتَشائِم صعوب فُرَص مُتَفائِل رَيّ فُرَص صعوب
الّتفاؤل فنٌ تصنعه الّنفوس الواثقة بفرج الله.,Good Moral: تَفاؤُل,"['التفاال', 'فن', 'تصنعه', 'النفوس', 'الواثقة', 'بفرج', 'الله']",التفاال فن تصنع نفوس واثق فرج الله,"['التفاال', 'فن', 'تصنع', 'نفوس', 'واثق', 'فرج', 'الله']","['التفاال', 'فَنّ', 'تَصَنُّع', 'نُفُوس', 'واثَق', 'فَرَج', 'اللّٰه']",التفاال فَنّ تَصَنُّع نُفُوس واثَق فَرَج اللّٰه
على الرّغم من الحاضر المظلم، فإنّني شديد التفاؤل شديد الثّقة بأنّ الفجر يقترب، وأنّ الصّبح الوليد قادم من هذا المخاض.,Good Moral: تَفاؤُل,"['الرغم', 'الحاضر', 'المظلم', 'فإنني', 'شديد', 'التفاال', 'شديد', 'الثقة', 'بأن', 'الفجر', 'يقترب', 'الصبح', 'الوليد', 'قادم', 'المخاض']",رغم حاضر مظلم آن شديد التفاال شديد ثق بأن فجر قترب صبح وليد قادم مخاض,"['رغم', 'حاضر', 'مظلم', 'آن', 'شديد', 'التفاال', 'شديد', 'ثق', 'بأن', 'فجر', 'قترب', 'صبح', 'وليد', 'قادم', 'مخاض']","['رَغْمَ', 'حاضَر', 'مُظْلِم', 'أَن', 'شَدِيد', 'التفاال', 'شَدِيد', 'ثق', 'بِأَنَّ', 'فَجَر', 'قترب', 'صُبْح', 'وَلِيد', 'قادِم', 'مَخاض']",رَغْمَ حاضَر مُظْلِم أَن شَدِيد التفاال شَدِيد ثق بِأَنَّ فَجَر قترب صُبْح وَلِيد قادِم مَخاض
المتفائل شخصٌ متهورٌ يُطعم دجاجته فضّة حتّى تبيض له ذهباً، والمتشائم شخص قلق يرمي البيضة الذهبيّة؛ لاعتقاده أنّ في داخلها قنبلة موقوتة.,Sentiment: negative,"['المتفائل', 'شخص', 'متهور', 'يطعم', 'دجاجته', 'فضة', 'تبيض', 'ذهبا', 'المتشائم', 'شخص', 'قلق', 'يرمي', 'البيضة', 'الذهبية', 'لاعتقاده', 'داخلها', 'قنبلة', 'موقوتة']",متفائل شخص متهور طعم دجاج فض تبيض ذهب متشائم شخص قلق رمى بيض ذهبي ٱعتقاد داخل قنبل موقوت,"['متفائل', 'شخص', 'متهور', 'طعم', 'دجاج', 'فض', 'تبيض', 'ذهب', 'متشائم', 'شخص', 'قلق', 'رمى', 'بيض', 'ذهبي', 'ٱعتقاد', 'داخل', 'قنبل', 'موقوت']","['مُتَفائِل', 'شَخْص', 'مُتَهَوِّر', 'طَعَّم', 'دَجاج', 'فَضّ', 'تَبَيَّض', 'ذَهَب', 'مُتَشائِم', 'شَخْص', 'قَلَق', 'رَمّ', 'بَيَّض', 'ذَهَب', 'ٱِعْتِقاد', 'داخِلَ', 'قَنْبَل', 'مَوْقُوت']",مُتَفائِل شَخْص مُتَهَوِّر طَعَّم دَجاج فَضّ تَبَيَّض ذَهَب مُتَشائِم شَخْص قَلَق رَمّ بَيَّض ذَهَب ٱِعْتِقاد داخِلَ قَنْبَل مَوْقُوت
الإصرار على التّفاؤل قد يصنع ما كان مستحيلاً.,Good Moral: تَفاؤُل,"['الإصرار', 'التفاال', 'يصنع', 'مستحيلا']",إصرار التفاال صنع مستحيل,"['إصرار', 'التفاال', 'صنع', 'مستحيل']","['إِصْرار', 'التفاال', 'صَنَع', 'مُسْتَحِيل']",إِصْرار التفاال صَنَع مُسْتَحِيل
العقل القويّ دائم الأمل، ولديه دائماً ما يبعث على الأمل.,Sentiment: positive,"['العقل', 'القوي', 'دائم', 'الأمل', 'لديه', 'دائما', 'يبعث', 'الأمل']",عقل قوي دائم أمل لد دائم بعث أمل,"['عقل', 'قوي', 'دائم', 'أمل', 'لد', 'دائم', 'بعث', 'أمل']","['عَقَّل', 'قَوِي', 'دائِم', 'أَمَّل', 'لِدّ', 'دائِم', 'بَعَث', 'أَمَّل']",عَقَّل قَوِي دائِم أَمَّل لِدّ دائِم بَعَث أَمَّل
يا من تظنّ أنّ التّفاؤل قد فارق نفسك، وأنّ الحزن قد بات رفيق دربك، لأنّ المصائب قد اثقلت كهلك، لا تبتئس، فكلُّ شيء مرجعه لذات غد يُفهم فيه الدّرس والهدف، فترى حينها مقصدك، وعذراً فهل السّيوف تشحذُ بسوى الطرقِ؟.,Good Moral: تَفاؤُل,"['تظن', 'التفاال', 'فارق', 'نفسك', 'الحزن', 'رفيق', 'دربك', 'لأن', 'المصائب', 'اثقلت', 'كهلك', 'تبتئس', 'فكل', 'شيا', 'مرجعه', 'لذات', 'غد', 'يفهم', 'الدرس', 'الهدف', 'فترى', 'حينها', 'مقصدك', 'عذرا', 'فهل', 'السيوف', 'تشحذ', 'بسوى', 'الطرق']",ظن التفاال فارق نفس حزن رفيق درب لأن مصائب أثقل كهل بتئس كل شي مرجع لذ غد فهم درس هدف فتر حين مقصد عذر هل سيوف شحذ سوي طرق,"['ظن', 'التفاال', 'فارق', 'نفس', 'حزن', 'رفيق', 'درب', 'لأن', 'مصائب', 'أثقل', 'كهل', 'بتئس', 'كل', 'شي', 'مرجع', 'لذ', 'غد', 'فهم', 'درس', 'هدف', 'فتر', 'حين', 'مقصد', 'عذر', 'هل', 'سيوف', 'شحذ', 'سوي', 'طرق']","['ظَنّ', 'التفاال', 'فارِق', 'نَفَس', 'حُز', 'رَفِيق', 'دَرْب', 'لِأَن', 'مَصائِب', 'أَثْقَل', 'كَهْل', 'بتئس', 'كُلّ', 'شَيّ', 'مَرْجِع', 'لُذّ', 'غَد', 'فُهِم', 'دَرَس', 'هَدَف', 'فَتَر', 'حِينَ', 'مَقْصِد', 'عُذْر', 'هَل', 'سُيُوف', 'شَحَذ', 'سَوِيّ', 'طَرَّق']",ظَنّ التفاال فارِق نَفَس حُز رَفِيق دَرْب لِأَن مَصائِب أَثْقَل كَهْل بتئس كُلّ شَيّ مَرْجِع لُذّ غَد فُهِم دَرَس هَدَف فَتَر حِينَ مَقْصِد عُذْر هَل سُيُوف شَحَذ سَوِيّ طَرَّق
المتفائل هو من ينظر إلى عينيك، والمتشائم هو من ينظر إلى قدميك.,Sentiment: positive,"['المتفائل', 'ينظر', 'عينيك', 'المتشائم', 'ينظر', 'قدميك']",متفائل نظر عين متشائم نظر قدم,"['متفائل', 'نظر', 'عين', 'متشائم', 'نظر', 'قدم']","['مُتَفائِل', 'نَظَر', 'عَيْن', 'مُتَشائِم', 'نَظَر', 'قُدُم']",مُتَفائِل نَظَر عَيْن مُتَشائِم نَظَر قُدُم
لا أعلم ماذا يخبّئ لي الغد، ولكنّي خبّأت له التّفاؤل.,Good Moral: تَفاؤُل,"['يخبئ', 'الغد', 'لكني', 'خبأت', 'التفاال']",خبئ غد لك خب التفاال,"['خبئ', 'غد', 'لك', 'خب', 'التفاال']","['خبئ', 'غَد', 'لَكّ', 'خَبّ', 'التفاال']",خبئ غَد لَكّ خَبّ التفاال
هناك من يتذمّر لانّ للورد شوكاً، وهناك من يتفاءل لأنّ فوق الشّوك وردة.,Sentiment: positive,"['يتذمر', 'لان', 'للورد', 'شوكا', 'يتفاال', 'لأن', 'الشوك', 'ردة']",تذمر لأن لورد شوك يتفاال لأن شوك رد,"['تذمر', 'لأن', 'لورد', 'شوك', 'يتفاال', 'لأن', 'شوك', 'رد']","['تَذَمَّر', 'لِأَن', 'لُورْد', 'شَوْك', 'يتفاال', 'لِأَن', 'شَوْك', 'رَدّ']",تَذَمَّر لِأَن لُورْد شَوْك يتفاال لِأَن شَوْك رَدّ
لا يمكن فعل شيء من دون أمل.,Sentiment: negative,"['يمكن', 'فعل', 'شيا', 'أمل']",مكن فعل شي أمل,"['مكن', 'فعل', 'شي', 'أمل']","['مَكَّن', 'فِعْل', 'شَيّ', 'أَمَّل']",مَكَّن فِعْل شَيّ أَمَّل
التّفاؤل أن تفهم عيوب الحياة، و تعرف أنّها ليست كارثة.,Good Moral: تَفاؤُل,"['التفاال', 'تفهم', 'عيوب', 'الحياة', 'تعرف', 'أنها', 'كارثة']",التفاال تف عيوب ألحي تعرف آن كارث,"['التفاال', 'تف', 'عيوب', 'ألحي', 'تعرف', 'آن', 'كارث']","['التفاال', 'تُفّ', 'عُيُوب', 'أَلْحَى', 'تَعَرُّف', 'أَن', 'كارِث']",التفاال تُفّ عُيُوب أَلْحَى تَعَرُّف أَن كارِث
التّسامح هو الشّكل الأخير من أشكال الحُبّ.,Sentiment: neutral,"['التسامح', 'الشكل', 'الأخير', 'أشكال', 'الحب']",تسامح شكل أخير إشكال حب,"['تسامح', 'شكل', 'أخير', 'إشكال', 'حب']","['تَسامُح', 'شَكْل', 'أَخْيَر', 'إِشْكال', 'حُبّ']",تَسامُح شَكْل أَخْيَر إِشْكال حُبّ
في العفو لذّة لا نجدها في الانتقام.,Blameworthy Moral: ٱِنْتِقام,"['العفو', 'لذة', 'نجدها', 'الانتقام']",عفو لذ نجد ٱنتقام,"['عفو', 'لذ', 'نجد', 'ٱنتقام']","['عَفْو', 'لُذّ', 'نَجْد', 'ٱِنْتِقام']",عَفْو لُذّ نَجْد ٱِنْتِقام
التّسامح يصبح جريمة عندما يُطبّق على الشّر.,Sentiment: negative,"['التسامح', 'يصبح', 'جريمة', 'عندما', 'يطبق', 'الشر']",تسامح صبح جريم عندم طبق شر,"['تسامح', 'صبح', 'جريم', 'عندم', 'طبق', 'شر']","['تَسامُح', 'صُبْح', 'جريم', 'عَنْدَم', 'طِبْق', 'شَرّ']",تَسامُح صُبْح جريم عَنْدَم طِبْق شَرّ
دونَ التّسامح لن يكون هنالك مستقبل.,Sentiment: negative,"['التسامح', 'يكون', 'مستقبل']",تسامح يكون مستقبل,"['تسامح', 'يكون', 'مستقبل']","['تَسامُح', 'يَكُون', 'مُسْتَقْبَل']",تَسامُح يَكُون مُسْتَقْبَل
التّسامح مبدأ عظيم بعد أن يعي الجميع حقوقهم، وواجباتهم.,Sentiment: positive,"['التسامح', 'مبدأ', 'عظيم', 'يعي', 'الجميع', 'حقوقهم', 'واجباتهم']",تسامح مبدآ عظيم عي جميع حقوق واجب,"['تسامح', 'مبدآ', 'عظيم', 'عي', 'جميع', 'حقوق', 'واجب']","['تَسامُح', 'مَبْدَآ', 'عَظِيم', 'عَيّ', 'جَمِيع', 'حُقُوق', 'واجِب']",تَسامُح مَبْدَآ عَظِيم عَيّ جَمِيع حُقُوق واجِب
من لا يستطيع التّسامح يهدم الجسر الّذي يجب أن يعبره هو نفسه.,Sentiment: negative,"['يستطيع', 'التسامح', 'يهدم', 'الجسر', 'يجب', 'يعبره', 'نفسه']",ستطيع تسامح هدم جسر جب عبر نفس,"['ستطيع', 'تسامح', 'هدم', 'جسر', 'جب', 'عبر', 'نفس']","['طِيع', 'تَسامُح', 'هَدَّم', 'جِسْر', 'جُبّ', 'عَبْرَ', 'نَفَس']",طِيع تَسامُح هَدَّم جِسْر جُبّ عَبْرَ نَفَس
دون التّسامح لا يكون هناك حب، ولا احترام، ولا تفاهم.,Sentiment: negative,"['التسامح', 'يكون', 'حب', 'احترام', 'تفاهم']",تسامح يكون حب ٱحترام تف,"['تسامح', 'يكون', 'حب', 'ٱحترام', 'تف']","['تَسامُح', 'يَكُون', 'حُبّ', 'ٱِحْتِرام', 'تُفّ']",تَسامُح يَكُون حُبّ ٱِحْتِرام تُفّ
الشّجعان لا يخشون التّسامح من أجل السّلام.,Sentiment: positive,"['الشجعان', 'يخشون', 'التسامح', 'السلام']",شجعان خش تسامح سلام,"['شجعان', 'خش', 'تسامح', 'سلام']","['شُجْعان', 'خَشّ', 'تَسامُح', 'سَلّام']",شُجْعان خَشّ تَسامُح سَلّام
التّسامح، والرّحمة من صفات الواثقين بأنفسهم، والذين لا يعرفون الخوف.,Good Moral: رَحْم,"['التسامح', 'الرحمة', 'صفات', 'الواثقين', 'بأنفسهم', 'يعرفون', 'الخوف']",تسامح رحم صف واثق أنفس عرف خوف,"['تسامح', 'رحم', 'صف', 'واثق', 'أنفس', 'عرف', 'خوف']","['تَسامُح', 'رَحِم', 'صَفّ', 'واثَق', 'أَنْفُس', 'عُرْف', 'خَوْف']",تَسامُح رَحِم صَفّ واثَق أَنْفُس عُرْف خَوْف
كنْ شديدَ التّسامح مع من خالفك الرأي، فإن لم يكن رأيه كلّ الصواب، فلا تكن أنت كلّ الخطأ بتشبثك برأيك.,Sentiment: neutral,"['شديد', 'التسامح', 'خالفك', 'الرأي', 'يكن', 'رأيه', 'الصواب', 'تكن', 'الخطأ', 'بتشبثك', 'برأيك']",شديد تسامح خالف رأي كن رأي صواب كن خطأ تشبث رأي,"['شديد', 'تسامح', 'خالف', 'رأي', 'كن', 'رأي', 'صواب', 'كن', 'خطأ', 'تشبث', 'رأي']","['شَدِيد', 'تَسامُح', 'خالَف', 'راي', 'كُن', 'راي', 'صَواب', 'كُن', 'خَطّ', 'تَشَبُّث', 'راي']",شَدِيد تَسامُح خالَف راي كُن راي صَواب كُن خَطّ تَشَبُّث راي
